hh_id,name,link,sal_min,sal_max,valuta
47289445,Продавец-консультант в магазин женской одежды,https://spb.hh.ru/vacancy/47289445?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,120000,180000,KZT
46546746,"Сборщик искусственных цветов, букетов, венков и корзин",https://spb.hh.ru/vacancy/46546746?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,500,900,бел. руб.
47314977,PHP-программист (Laravel),https://spb.hh.ru/vacancy/47314977?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,400000,600000,KZT
46977845,Data Engineer(Hr платформа),https://spb.hh.ru/vacancy/46977845?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47085259,Java разработчик,https://spb.hh.ru/vacancy/47085259?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47084486,Java Разработчик,https://spb.hh.ru/vacancy/47084486?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
45575935,Product Director / Директор по продукту,https://spb.hh.ru/vacancy/45575935?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47012291,DevOps Инженер,https://spb.hh.ru/vacancy/47012291?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47084100,Data Engineer,https://spb.hh.ru/vacancy/47084100?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47090906,Junior Java Разработчик,https://spb.hh.ru/vacancy/47090906?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47331305,IOS developer,https://spb.hh.ru/vacancy/47331305?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46338638,Backend-разработчик C# / Sql,https://spb.hh.ru/vacancy/46338638?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
44154541,Full Stack Developer (Go/Vue),https://spb.hh.ru/vacancy/44154541?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47229195,.Net Developer,https://spb.hh.ru/vacancy/47229195?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46408102,"Водитель экспедитор категории В, ВС",https://spb.hh.ru/vacancy/46408102?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,75000,150000,руб.
